Directory,Treatment,Peak_file
Silencing/GPS2,chip_sigps2,sigps2
Silencing/GPS2,chip_sictl,sictl
Mito_stress_treatment/GPS2,"gps2_withFCCP_rep1;gps2_withFCCP_rep2",gps2_withFCCP
Mito_stress_treatment/GPS2,"gps2_noFCCP_rep1;gps2_noFCCP_rep2",gps2_noFCCP
Adipocyte_differentiation/GPS2,gps2_day0,gps2_day0
Adipocyte_differentiation/GPS2,gps2_day6,gps2_day6
Mito_stress_treatment/Amino_acid_deprivation/ATF4,ATF4_AAD,ATF4_AAD
Mito_stress_treatment/ER_stress/ATF4,ATF4_WT_Tmc,ATF4_WT_Tmc
Mito_stress_treatment/ER_stress/ATF4,ATF4_KO_Tmc,ATF4_KO_Tmc
